venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
1,PAMPLONA,1014.3,976.73,1086.89,1462.0,2114.41,3074.49,1766.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11495.55,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11,2024,0.0,11495.55,,,,,False
2,BILBAO,388.25,326.49,321.6,434.25,1446.9,2349.8,973.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6240.69,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11,2024,0.0,6240.69,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,400.45,576.8,430.25,1212.75,1887.6,1164.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5672.2,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11,2024,0.0,5672.2,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2024,0.0,0.0,,,,,False
1,PAMPLONA,567.8,1158.1,899.15,1144.33,1918.09,2503.7,1878.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10069.22,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12,2024,0.0,10069.22,,,,,False
2,BILBAO,218.75,874.15,694.0,781.63,1168.45,2493.1,1071.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7301.33,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12,2024,0.0,7301.33,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,621.1,386.2,398.0,1904.95,2182.18,780.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6272.77,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12,2024,0.0,6272.77,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2024,0.0,0.0,,,,,False
1,PAMPLONA,816.63,1126.95,2107.2,1179.8,2005.0,2397.75,1916.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11549.98,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13,2024,0.0,11549.98,,,,Good Friday,True
2,BILBAO,1193.45,651.8,1066.0,1365.75,1385.8,1980.85,637.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8281.53,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13,2024,0.0,8281.53,,,,Good Friday,True
3,BURGOS,0.0,0.0,82.23,1041.66,1262.25,2504.2,2278.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7169.22,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,13,2024,0.0,7169.22,,,,Good Friday,True
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2024,0.0,0.0,,,,Good Friday,True
5,VITORIA,0.0,518.0,1202.0,827.6,1068.7,1258.9,1724.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6599.6,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13,2024,0.0,6599.6,,,,Good Friday,True
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2024,0.0,0.0,,,,Good Friday,True
1,PAMPLONA,871.25,870.5,699.95,852.5,1650.01,1629.1,1358.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7932.17,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14,2024,0.0,7932.17,,,,,False
2,BILBAO,1352.95,640.5,961.28,550.2,1164.94,2142.8,1063.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14,2024,0.0,7876.0,,,,,False
3,BURGOS,0.0,646.75,779.0,1024.25,2553.0,2415.23,2109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9527.38,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14,2024,0.0,9527.38,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,218.05,478.5,383.5,1212.1,1512.2,919.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4723.73,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14,2024,0.0,4723.73,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2024,0.0,0.0,,,,,False
1,PAMPLONA,384.75,895.6,1209.91,783.2,1927.78,3178.65,1392.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9772.82,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15,2024,0.0,9772.82,,,,,False
2,BILBAO,432.45,874.03,667.1,1520.43,1527.33,1144.55,1395.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7561.14,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15,2024,0.0,7561.14,,,,,False
3,BURGOS,0.0,431.0,939.95,518.0,2640.8,1876.7,1359.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7765.7,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15,2024,0.0,7765.7,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,173.75,468.95,306.25,1171.2,1704.65,920.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4745.05,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,15,2024,0.0,4745.05,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2024,0.0,0.0,,,,,False
1,PAMPLONA,504.75,965.31,870.95,1307.13,1889.4,2920.28,1438.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9896.77,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16,2024,0.0,9896.77,,,,,False
2,BILBAO,618.0,421.35,525.2,500.75,1159.5,2547.0,1187.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6959.45,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16,2024,0.0,6959.45,,,,,False
